Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1324,"Eric Tönnies, E. Trushina","Oxidative Stress, Synaptic Dysfunction, and Alzheimer’s Disease",2017,Journal of Alzheimer's Disease,,https://www.semanticscholar.org/paper/ae59cb14f8876f10431956a91fe82a5d177193b2,,11,2026-01-21 21:46:31,Review,10.3233/JAD-161088,1387-2877,,57.0,,1105.0,1121.0,1324,147.11,662,2,9,"Alzheimer’s disease (AD) is a devastating neurodegenerative disorder without a cure. Most AD cases are sporadic where age represents the greatest risk factor. Lack of understanding of the disease mechanism hinders the development of efficacious therapeutic approaches. The loss of synapses in the affected brain regions correlates best with cognitive impairment in AD patients and has been considered as the early mechanism that precedes neuronal loss. Oxidative stress has been recognized as a contributing factor in aging and in the progression of multiple neurodegenerative diseases including AD. Increased production of reactive oxygen species (ROS) associated with age- and disease-dependent loss of mitochondrial function, altered metal homeostasis, and reduced antioxidant defense directly affect synaptic activity and neurotransmission in neurons leading to cognitive dysfunction. In addition, molecular targets affected by ROS include nuclear and mitochondrial DNA, lipids, proteins, calcium homeostasis, mitochondrial dynamics and function, cellular architecture, receptor trafficking and endocytosis, and energy homeostasis. Abnormal cellular metabolism in turn could affect the production and accumulation of amyloid-β (Aβ) and hyperphosphorylated Tau protein, which independently could exacerbate mitochondrial dysfunction and ROS production, thereby contributing to a vicious cycle. While mounting evidence implicates ROS in the AD etiology, clinical trials with antioxidant therapies have not produced consistent results. In this review, we will discuss the role of oxidative stress in synaptic dysfunction in AD, innovative therapeutic strategies evolved based on a better understanding of the complexity of molecular mechanisms of AD, and the dual role ROS play in health and disease.",https://content.iospress.com:443/download/journal-of-alzheimers-disease/jad161088?id=journal-of-alzheimers-disease%2Fjad161088,
734,"Ana Badimon, Hayley J Strasburger, Pinar Ayata, Xinhong Chen, Aditya Nair, Ako Ikegami, Philip Hwang, Andrew T. Chan, Steven M. Graves, Joseph O. Uweru, Carola Ledderose, M. Kutlu, Michael A. Wheeler, A. Kahan, Masago Ishikawa, Ying-Chih Wang, Y. Loh, Jean X. Jiang, D. Surmeier, S. Robson, W. Junger, R. Sebra, E. Calipari, P. Kenny, Ukpong B. Eyo, M. Colonna, F. Quintana, H. Wake, V. Gradinaru, A. Schaefer",Negative feedback control of neuronal activity by microglia,2020,Nature,,https://www.semanticscholar.org/paper/1403ad0dd780b10da93013bd82979520be67ee51,,41,2026-01-21 21:46:31,JournalArticle,10.1038/s41586-020-2777-8,0028-0836,,586.0,,417.0,423.0,734,122.33,73,30,6,"Microglia, the brain’s resident macrophages, help to regulate brain function by removing dying neurons, pruning non-functional synapses, and producing ligands that support neuronal survival 1 . Here we show that microglia are also critical modulators of neuronal activity and associated behavioural responses in mice. Microglia respond to neuronal activation by suppressing neuronal activity, and ablation of microglia amplifies and synchronizes the activity of neurons, leading to seizures. Suppression of neuronal activation by microglia occurs in a highly region-specific fashion and depends on the ability of microglia to sense and catabolize extracellular ATP, which is released upon neuronal activation by neurons and astrocytes. ATP triggers the recruitment of microglial protrusions and is converted by the microglial ATP/ADP hydrolysing ectoenzyme CD39 into AMP; AMP is then converted into adenosine by CD73, which is expressed on microglia as well as other brain cells. Microglial sensing of ATP, the ensuing microglia-dependent production of adenosine, and the adenosine-mediated suppression of neuronal responses via the adenosine receptor A 1 R are essential for the regulation of neuronal activity and animal behaviour. Our findings suggest that this microglia-driven negative feedback mechanism operates similarly to inhibitory neurons and is essential for protecting the brain from excessive activation in health and disease. Microglia, the brain’s immune cells, suppress neuronal activity in response to synaptic ATP release and alter behavioural responses in mice.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7577179,
461,"K. Siletti, R. Hodge, Alejandro Mossi Albiach, Lijuan Hu, K. Lee, P. Lönnerberg, Trygve E Bakken, S. Ding, Michael Clark, Tamara Casper, N. Dee, Jessica Gloe, C. Keene, J. Nyhus, Herman Tung, A. Yanny, E. Arenas, E. Lein, S. Linnarsson",Transcriptomic diversity of cell types across the adult human brain,2022,bioRxiv,,https://www.semanticscholar.org/paper/9cbcb2be6591664177c628d3db477ba3eefd0117,,79,2026-01-21 21:46:31,JournalArticle,10.1126/science.add7046,,,,,,,461,115.25,46,19,4,"The human brain directs a wide range of complex behaviors ranging from fine motor skills to abstract intelligence and emotion. However, the diversity of cell types that support these skills has not been fully described. Here we used high-throughput single-nucleus RNA sequencing to systematically survey cells across the entire adult human brain in three postmortem donors. We sampled over three million nuclei from approximately 100 dissections across the forebrain, midbrain, and hindbrain. Our analysis identified 461 clusters and 3313 subclusters organized largely according to developmental origins. We found area-specific cortical neurons, as well as an unexpectedly high diversity of midbrain and hindbrain neurons. Astrocytes also exhibited regional diversity at multiple scales, comprising subtypes specific to the telencephalon and to more precise anatomical locations. Oligodendrocyte precursors comprised two distinct major types specific to the telencephalon and to the rest of the brain. Together, these findings demonstrate the unique cellular composition of the telencephalon with respect to all major brain cell types. As the first single-cell transcriptomic census of the entire human brain, we provide a resource for understanding the molecular diversity of the human brain in health and disease.",https://www.biorxiv.org/content/biorxiv/early/2022/10/14/2022.10.12.511898.full.pdf,
632,M. Posner,The Cognitive Neuroscience of Attention,2020,,,https://www.semanticscholar.org/paper/ed86d5475f159852b815c7dfffc864b9b073a601,,53,2026-01-21 21:46:31,,10.4324/9781003048916,,,,,,,632,105.33,632,1,6,"M.I. Posner, Progress in Attention Research. Part 1. Cognitive Science. R.M. Klein, M.A. Lawrence, On the Modes and Domains of Attention. L. Huang, H. Pashler, Boolean Map Approach to Visual Attention. H. Wang, X. Liu, J. Fan, Symbolic and Connectionist Models of Attention. G.W. Humphreys, E. Mavritsaki, Models of Visual Search: From Abstract Function to Biological Constraint. L.J. Fuentes, A.B. Vivas, L.K. Langley, Q. Chen,C. Gonzalez-Salinas, Inhibitory Mechanisms in the Attentional Networks: A Multidisciplinary Approach. C.S. Carter, M.K. Krug, Dynamic Cognitive Control and Frontal-Cingulate Interactions. E.F. Ester, E.K. Vogel, E. Awh, Discrete Resource Limits in Attention and Working Memory. Part 2. Imaging. G.L. Shulman, M. Corbetta, Two Attentional Networks: Identification and Function within a Larger Cognitive Architecture. L. Reddy, N. Kanwisher, Clutter and Attention in Multivoxel Functional Magnetic Resonance Imaging. J. Duncan, T. Manly, A Frontoparietal Attention System in Human and Monkey Brain: Constructing and Assembling the Fragments of Thought and Behavior. A.C. Nobre, G. Rohenkohl, M.G. Stokes, Nervous Anticipation: Top-Down Biasing across Space and Time. B.D. McCandliss, Microstructural Properties of White Matter Tracts Are Linked to the Efficiency of Specific Attention Networks. S.K. Andersen, M.M. Muller, S.A. Hillyard, Tracking the Allocation of Attention in Visual Scenes with Steady-State Evoked Potentials. Part 3. Neuroscience. G.F. Woodman, C.E. Schroeder, Using Nonhuman Primates to Study the Micro- and Macro-Dynamics of Neural Mechanisms of Attention. E.K. Miller, T.J. Buschman, Top-Down Control of Attention by Rhythmic Neural Computations. J.D. Schall, K.G. Thompson, Neural Mechanisms of Saccade Target Selection: Evidence for a Stage Theory of Attention and Action. T. Moore, B. Burrows, K.M. Armstrong, R.J. Schafer, M.H. Chang, Neural Circuits Controlling Visual Attention. D.C. Rowland, C.G. Kentros, Attentional Modulation of the Firing Patterns of Hippocampal Neurons. Part 4. Development. D.A. Fair, N.U.F. Dosenbach, S.E. Petersen, B.L. Schlaggar, Resting State Studies on the Development of Control Systems. A. Berger, C. Buchman, T. Green-Bleier, Development of Error Detection. M.A. Bell, S.D. Calkins, Attentional Control and Emotion Regulation in Early Development. K. Deater-Deckard, Z. Wang, Development of Temperament and Attention: Behavioral Genetic Approaches. Part 5. Deficits. B.J. Casey, M. Riddle, Typical and Atypical Development of Attention. J. Townsend, B. Keehn, M. Westerfield, ""Abstraction of Mind"": Attention in Autism. G. Bush, Cingulate-Frontal-Parietal Function in Health and Disease. M. Arcos-Burgos, M. Muenke, Understanding Attention through Evolutionary and Epidemiological Genetics: Attention-Deficit/Hyperactivity Disorder as an Extreme Phenotypic Variant. K.R. Ridderinkhof, W.P.M. van den Wildenberg, S.A. Wylie, Action Control in Times of Conflict: Analysis of Reaction Time Distributions in Healthy and Clinical Populations. J.P. Newman, A.R. Baskin-Sommers, Early Selective Attention Abnormalities in Psychopathy: Implications for Self-Regulation. T.J. Simon, S.J. Luck, Attentional Impairments in Children with Chromosome 22q11.2 Deletion Syndrome. R.G. O'Connell, I.H. Robertson, Training the Brain: Nonpharmacological Approaches to Stimulating Cognitive Plasticity. T. Klingberg, Training of Working Memory and Attention.",,
209,"Ariadna Fernández-Calvet, Leticia Matilla-Cuenca, M. Izco, Susanna Navarro, Miriam Serrano, Salvador Ventura, J. Blesa, Maite Herráiz, G. Alkorta-Aranburu, Sergio Galera, Igor Ruiz de los Mozos, M. Mansego, Alejandro Toledo‐Arana, L. Alvarez-Erviti, Jaione Valle",Gut microbiota produces biofilm-associated amyloids with potential for neurodegeneration,2024,Nature Communications,,https://www.semanticscholar.org/paper/e0545f9c6b128b586109fb12e61524edfa9e7de8,,265,2026-01-21 21:46:31,JournalArticle,10.1038/s41467-024-48309-x,0092-8674,,15.0,,,,209,104.5,21,15,2,"Age-related neurodegenerative diseases involving amyloid aggregation remain one of the biggest challenges of modern medicine. Alterations in the gastrointestinal microbiome play an active role in the aetiology of neurological disorders. Here, we dissect the amyloidogenic properties of biofilm-associated proteins (BAPs) of the gut microbiota and their implications for synucleinopathies. We demonstrate that BAPs are naturally assembled as amyloid-like fibrils in insoluble fractions isolated from the human gut microbiota. We show that BAP genes are part of the accessory genomes, revealing microbiome variability. Remarkably, the abundance of certain BAP genes in the gut microbiome is correlated with Parkinson’s disease (PD) incidence. Using cultured dopaminergic neurons and Caenorhabditis elegans models, we report that BAP-derived amyloids induce α-synuclein aggregation. Our results show that the chaperone-mediated autophagy is compromised by BAP amyloids. Indeed, inoculation of BAP fibrils into the brains of wild-type mice promote key pathological features of PD. Therefore, our findings establish the use of BAP amyloids as potential targets and biomarkers of α-synucleinopathies. The microbiota of the intestinal tract is considered a large biofilm formed by myriads bacteria that have a considerable impact in health and disease. Here, the authors show that biofilm-associated proteins from intestinal microbiota form amyloid-like structures that exacerbate alpha-synuclein pathologies.",https://doi.org/10.1016/j.cell.2010.08.009,
410,"T. Brown, G. Brainard, C. Cajochen, C. Czeisler, J. Hanifin, S. Lockley, R. Lucas, M. Münch, J. O'Hagan, S. Peirson, L. Price, T. Roenneberg, L. Schlangen, D. Skene, M. Spitschan, C. Vetter, P. Zee, K. Wright","Recommendations for daytime, evening, and nighttime indoor light exposure to best support physiology, sleep, and wakefulness in healthy adults",2022,PLoS Biology,,https://www.semanticscholar.org/paper/2289ea54b339316614cd54021656c100747d0097,,103,2026-01-21 21:46:31,JournalArticle,10.1371/journal.pbio.3001571,1544-9173,,20.0,,,,410,102.5,41,18,4,"Ocular light exposure has important influences on human health and well-being through modulation of circadian rhythms and sleep, as well as neuroendocrine and cognitive functions. Prevailing patterns of light exposure do not optimally engage these actions for many individuals, but advances in our understanding of the underpinning mechanisms and emerging lighting technologies now present opportunities to adjust lighting to promote optimal physical and mental health and performance. A newly developed, international standard provides a SI-compliant way of quantifying the influence of light on the intrinsically photosensitive, melanopsin-expressing, retinal neurons that mediate these effects. The present report provides recommendations for lighting, based on an expert scientific consensus and expressed in an easily measured quantity (melanopic equivalent daylight illuminance (melaponic EDI)) defined within this standard. The recommendations are supported by detailed analysis of the sensitivity of human circadian, neuroendocrine, and alerting responses to ocular light and provide a straightforward framework to inform lighting design and practice.",https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.3001571&type=printable,
737,"N. J. Allen, D. Lyons",Glia as architects of central nervous system formation and function,2018,Science,,https://www.semanticscholar.org/paper/de7134740db1a386f2b0a9d4ea4fb3053440bc46,,39,2026-01-21 21:46:31,Review,10.1126/science.aat0473,0193-4511,,362.0,,181.0,185.0,737,92.13,369,2,8,"Glia constitute roughly half of the cells of the central nervous system (CNS) but were long-considered to be static bystanders to its formation and function. Here we provide an overview of how the diverse and dynamic functions of glial cells orchestrate essentially all aspects of nervous system formation and function. Radial glia, astrocytes, oligodendrocyte progenitor cells, oligodendrocytes, and microglia each influence nervous system development, from neuronal birth, migration, axon specification, and growth through circuit assembly and synaptogenesis. As neural circuits mature, distinct glia fulfill key roles in synaptic communication, plasticity, homeostasis, and network-level activity through dynamic monitoring and alteration of CNS structure and function. Continued elucidation of glial cell biology, and the dynamic interactions of neurons and glia, will enrich our understanding of nervous system formation, health, and function.",https://europepmc.org/articles/pmc6292669?pdf=render,
365,"F. Endo, A. Kasai, Joselyn S. Soto, Xinzhu Yu, Zhe Qu, Hitoshi Hashimoto, V. Gradinaru, R. Kawaguchi, B. Khakh",Molecular basis of astrocyte diversity and morphology across the CNS in health and disease,2022,Science,,https://www.semanticscholar.org/paper/7128df4a0d67b11c4ef030b030ee35758cc71fbb,,127,2026-01-21 21:46:31,JournalArticle,10.1126/science.adc9020,0193-4511,,378.0,,,,365,91.25,41,9,4,"Astrocytes, a type of glia, are abundant and morphologically complex cells. Here, we report astrocyte molecular profiles, diversity, and morphology across the mouse central nervous system (CNS). We identified shared and region-specific astrocytic genes and functions and explored the cellular origins of their regional diversity. We identified gene networks correlated with astrocyte morphology, several of which unexpectedly contained Alzheimer’s disease (AD) risk genes. CRISPR/Cas9–mediated reduction of candidate genes reduced astrocyte morphological complexity and resulted in cognitive deficits. The same genes were down-regulated in human AD, in an AD mouse model that displayed reduced astrocyte morphology, and in other human brain disorders. We thus provide comprehensive molecular data on astrocyte diversity and mechanisms across the CNS and on the molecular basis of astrocyte morphology in health and disease. Description Astrocyte diversity and morphology Astrocytes are the major type of glia, displaying complex bushy morphologies as their defining feature. Endo et al. studied astrocyte similarities, diversity, and morphology across the mouse central nervous system (CNS) (see the Perspective by Baldwin). They identified gene networks related to astrocyte morphology between CNS regions, several of which unexpectedly included genes related to risk of Alzheimer’s disease (AD). When expression of these genes was reduced in mice, astrocyte morphological complexity was diminished, and mice exhibited impairments in a cognitive test. Remarkably, the same genes are down-regulated in both a mouse model of AD and in human AD and several other CNS disorders. These findings suggest that loss of astrocyte morphology may be therapeutically targetable in diverse CNS disorders. —SMH The molecular basis of astrocyte diversity and of their complex morphology in health and disease states is elucidated. INTRODUCTION The central nervous system (CNS) comprises a large population of non-neuronal cells called glia. The predominant type of glia are astrocytes, which were discovered ~140 years ago. Astrocytes tile the entire CNS, serve critical homeostatic functions, and display complex, “bushy” morphologies—their defining feature. Unlike CNS neurons, which are highly diverse, astrocytes have historically been considered largely homogenous, serving as a type of omnipresent glue that is equivalent between CNS areas. Although recent studies have challenged this belief, there has been no broad assessment of astrocyte diversity, similarity, or morphology across the CNS of any species. An important goal, therefore, is to rigorously understand the molecular similarities and differences between astrocytes in the CNS, to determine how they affect astrocyte morphology, and to determine how these properties relate to normal and disease conditions. RATIONALE It is critical to understand all cell types of the CNS in detail as part of our quest to explore fundamental biology and to develop new therapeutic strategies to treat CNS disorders. We studied astrocyte regional diversity and major signaling pathways using whole-brain imaging, astrocyte-neuron density, marker expression, astrocyte-specific and bulk tissue gene expression, single-cell gene expression, astrocyte morphology, and interrelationships between gene expression and morphology using bioinformatic methods across the CNS. The data were mined to identify genes and pathways related to astrocyte morphological complexity, which we explored experimentally using gene knockdowns. We then compared these morphology-related genes with astrocytic differentially expressed genes from an Alzheimer’s disease (AD) mouse model displaying reduced astrocyte morphology, as well as in relation to gene expression in AD and other CNS disorders. RESULTS We found several hundred genes that were enriched within and shared among astrocytes in the CNS, with functions related to metabolism, cholesterol, and neurotransmitter uptake and biosynthesis. These genes represent the core functions of astrocytes, but little is known about approximately a third of them, implying that understanding the fundamental physiology of astrocytes across CNS areas is an important ongoing experimental goal. Our data also reveal that astrocytes have molecular features and functions specific to CNS regions, and that these region-specific functions arise from the local tissue environment and by variable representation of seven distinct astrocyte subclusters. We mined our data to identify gene networks related to astrocyte morphology, and unexpectedly discovered several AD risk genes. We developed astrocyte-specific CRISPR/Cas9–based gene knockdown to reduce the expression of such genes in the hippocampus. We found a reduction of astrocyte morphology with changes in a cognitive task after knockdown of key morphology-related genes, indicating that astrocyte morphological changes affect neural circuit function. In addition to AD risk genes that were astrocyte morphology related, we found a significant association between morphology-related genes and those related to several other common CNS disorders. CONCLUSION We provide comprehensive molecular data that will allow many new types of experiments to explore core features of astrocytes across the CNS, in particular, those unique to specific regions and how they relate to the dynamics and biophysics of neural circuits in specific CNS regions. We used our data to identify the molecular underpinnings of astrocyte morphology between CNS regions and to show that reduced astrocyte morphological complexity, and the attendant loss of tissue support, is common to diverse CNS disorders. This raises the prospect that restoring astrocyte morphology, and thus the ensuing neuronal and tissue support functions, may be therapeutically beneficial in disease. Our findings provide the molecular basis to explore such strategies and to unravel the nascent underlying biology determining how astrocytes contribute to CNS function and dysfunction. Astrocyte diversity and morphology across the CNS. (1) Astrocyte morphology and gene expression was measured across CNS regions. (2) Gene expression data revealed the molecular signatures of astrocyte diversity and its origins. (3) Gene expression and morphological data identified gene networks related to complex morphology. Causal roles were explored. (4) Several astrocyte morphology genes were Alzheimer’s disease risk genes, a disorder in which astrocytes displayed reduced morphology.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9873482,
819,"Tong Guo, Wendy Noble, D. Hanger",Roles of tau protein in health and disease,2017,Acta Neuropathologica,,https://www.semanticscholar.org/paper/f915404d05eb829fbc0c017f94e8db4cfca0dadf,,31,2026-01-21 21:46:31,Review,10.1007/s00401-017-1707-9,0001-6322,,133.0,,665.0,704.0,819,91.0,273,3,9,"Tau is well established as a microtubule-associated protein in neurons. However, under pathological conditions, aberrant assembly of tau into insoluble aggregates is accompanied by synaptic dysfunction and neural cell death in a range of neurodegenerative disorders, collectively referred to as tauopathies. Recent advances in our understanding of the multiple functions and different locations of tau inside and outside neurons have revealed novel insights into its importance in a diverse range of molecular pathways including cell signalling, synaptic plasticity, and regulation of genomic stability. The present review describes the physiological and pathophysiological properties of tau and how these relate to its distribution and functions in neurons. We highlight the post-translational modifications of tau, which are pivotal in defining and modulating tau localisation and its roles in health and disease. We include discussion of other pathologically relevant changes in tau, including mutation and aggregation, and how these aspects impinge on the propensity of tau to propagate, and potentially drive neuronal loss, in diseased brain. Finally, we describe the cascade of pathological events that may be driven by tau dysfunction, including impaired axonal transport, alterations in synapse and mitochondrial function, activation of the unfolded protein response and defective protein degradation. It is important to fully understand the range of neuronal functions attributed to tau, since this will provide vital information on its involvement in the development and pathogenesis of disease. Such knowledge will enable determination of which critical molecular pathways should be targeted by potential therapeutic agents developed for the treatment of tauopathies.",https://link.springer.com/content/pdf/10.1007%2Fs00401-017-1707-9.pdf,
631,"R. Zajączkowska, M. Kocot-Kępska, W. Leppert, A. Wrzosek, J. Mika, J. Wordliczek",Mechanisms of Chemotherapy-Induced Peripheral Neuropathy,2019,International Journal of Molecular Sciences,,https://www.semanticscholar.org/paper/00d37596a98ffb0075aef1b1206454ea6168ccdc,,55,2026-01-21 21:46:31,Review,10.3390/ijms20061451,1422-0067,,20.0,,,,631,90.14,105,6,7,"Chemotherapy-induced peripheral neuropathy (CIPN) is one of the most frequent side effects caused by antineoplastic agents, with a prevalence from 19% to over 85%. Clinically, CIPN is a mostly sensory neuropathy that may be accompanied by motor and autonomic changes of varying intensity and duration. Due to its high prevalence among cancer patients, CIPN constitutes a major problem for both cancer patients and survivors as well as for their health care providers, especially because, at the moment, there is no single effective method of preventing CIPN; moreover, the possibilities of treating this syndrome are very limited. There are six main substance groups that cause damage to peripheral sensory, motor and autonomic neurons, which result in the development of CIPN: platinum-based antineoplastic agents, vinca alkaloids, epothilones (ixabepilone), taxanes, proteasome inhibitors (bortezomib) and immunomodulatory drugs (thalidomide). Among them, the most neurotoxic are platinum-based agents, taxanes, ixabepilone and thalidomide; other less neurotoxic but also commonly used drugs are bortezomib and vinca alkaloids. This paper reviews the clinical picture of CIPN and the neurotoxicity mechanisms of the most common antineoplastic agents. A better understanding of the risk factors and underlying mechanisms of CIPN is needed to develop effective preventive and therapeutic strategies.",https://www.mdpi.com/1422-0067/20/6/1451/pdf?version=1553772078,
